iter	Logloss
0	0.663171979
1	0.6347891125
2	0.6081304166
3	0.5829455795
4	0.5589675396
5	0.5363867052
6	0.5151045854
7	0.4950842017
8	0.4760358021
9	0.458235434
10	0.4414672238
11	0.4255552624
12	0.4105329686
13	0.3964197953
14	0.3831715318
15	0.3706425728
16	0.3589347268
17	0.3478657202
18	0.3374234859
19	0.3275359163
20	0.3182431471
21	0.3095164051
22	0.3012927506
23	0.2935615683
24	0.2862014237
25	0.2792765018
26	0.2727633963
27	0.2666065574
28	0.2607961879
29	0.2552615748
30	0.2500509018
31	0.2451442769
32	0.240503141
33	0.2361624498
34	0.2319914333
35	0.2280635942
36	0.2243661512
37	0.2208907125
38	0.2176008637
39	0.2144735258
40	0.2115121516
41	0.2086501697
42	0.2059973764
43	0.2034841281
44	0.2010598774
45	0.1988220031
46	0.1966736485
47	0.1946241718
48	0.1926833387
49	0.1908316832
50	0.1890812519
51	0.1874225664
52	0.1858339988
53	0.1843334748
54	0.1829121489
55	0.1815628133
56	0.1803108108
57	0.1790742709
58	0.177922603
59	0.1767958299
60	0.1757380109
61	0.1747243157
62	0.1737708886
63	0.1728554422
64	0.1719854991
65	0.171168944
66	0.1704030737
67	0.1696548788
68	0.1689699531
69	0.1683009413
70	0.1676590326
71	0.1670088022
72	0.1664041789
73	0.1658377279
74	0.1652821438
75	0.1647562348
76	0.1642482366
77	0.1637740897
78	0.1633200765
79	0.1628759851
80	0.1624659488
81	0.1620813043
82	0.1616996501
83	0.1613540645
84	0.1610070672
85	0.1606864483
86	0.1603751945
87	0.1600882344
88	0.1598056632
89	0.159530168
90	0.1592643365
91	0.1590026061
92	0.1587558322
93	0.1585246089
94	0.1583032219
95	0.1580822114
96	0.1578659496
97	0.1576695912
98	0.1574825061
99	0.1573056591
100	0.1571199829
101	0.1569582875
102	0.1568107302
103	0.1566527216
104	0.1565075961
105	0.156355875
106	0.1562199217
107	0.15608578
108	0.1559608638
109	0.1558325661
110	0.1557134814
111	0.1556014838
112	0.1554889221
113	0.1553810249
114	0.1552876616
115	0.1551878595
116	0.1550995826
117	0.1550074854
118	0.1549233115
119	0.154837819
120	0.1547568671
121	0.1546830347
122	0.1546075839
123	0.1545394712
124	0.1544735093
125	0.1544087163
126	0.1543551952
127	0.1542909769
128	0.1542274602
129	0.1541651679
130	0.1541061658
131	0.1540603237
132	0.1540050281
133	0.1539576676
134	0.153909348
135	0.1538605884
136	0.1538087854
137	0.15376792
138	0.1537252603
139	0.1536920426
140	0.1536522826
141	0.153613902
142	0.1535760123
143	0.153542751
144	0.1535163361
145	0.1534746985
146	0.153440485
147	0.1534099541
148	0.153378803
149	0.1533494854
150	0.153317896
151	0.1532951787
152	0.1532672613
153	0.153240614
154	0.1532164446
155	0.1531936196
156	0.1531692489
157	0.1531506437
158	0.1531269011
159	0.1531024918
160	0.1530848347
161	0.1530558297
162	0.1530307381
163	0.1530070081
164	0.1529866193
165	0.1529631238
166	0.1529398998
167	0.1529264951
168	0.1529075162
169	0.1528911493
170	0.1528752782
171	0.1528580642
172	0.1528432792
173	0.1528265074
174	0.152810717
175	0.1527918841
176	0.1527753407
177	0.1527596303
178	0.152747241
179	0.1527344651
180	0.1527212553
181	0.1527078019
182	0.1526939557
183	0.1526841384
184	0.1526720248
185	0.1526621343
186	0.1526440321
187	0.1526321977
188	0.1526209838
189	0.1526092364
